Short description,Description,Full_Description,Assignment group,New_Assignment_Group
login issue,   verify user detail    employee      manager name      check user name ad reset password      advise user login check      caller confirm able login      issue resolve,login issue   verify user detail   employee     manager name     check user name ad reset password     advise user login check     caller confirm able login     issue resolve,GRP_0,0
outlook,      receive      hello team       meeting skype meet etc appear outlook calendar    somebody please advise correct       kind,outlook      receive     hello team      meeting skype meeting etc appear outlook calendar   somebody please advise correct      kind,GRP_0,0
can not log vpn,      receive      hi      can not log vpn      well,can not log vpn      receive     hi     can not log vpn     best,GRP_0,0
unable access hr tool page,unable access hr tool page,unable access hr tool page unable access hr tool page,GRP_0,0
skype error,skype error,skype error   skype error,GRP_0,0
unable log engineering tool skype,unable log engineering tool skype,unable log engineering tool skype unable log engineering tool skype,GRP_0,0
event   critical hostname      company com value mountpoint threshold   oracle sid     erpdata    ,event    critical hostname       company com value mountpoint threshold    oracle sid      erpdata     sr psa     sr psa data    perpsr psa        ,event   critical hostname      company com value mountpoint threshold   oracle sid     erpdata      event   critical hostname      company com value mountpoint threshold   oracle sid     erpdata    sr psa    sr psa data   perpsr psa        ,GRP_1,1
ticket          employment status    new non employee   enter user name,ticket           employment status     new non employee    enter user name,ticket          employment status    new non employee   enter user name   ticket          employment status    new non employee   enter user name,GRP_0,0
unable disable add in outlook,unable disable add in outlook,unable disable add in outlook unable disable add in outlook,GRP_0,0
ticket update inplant       ,ticket update inplant       ,ticket update inplant         ticket update inplant       ,GRP_0,0
engineering tool say connect unable submit report,engineering tool say connect unable submit report,engineering tool say connect unable submit report engineering tool say connect unable submit report,GRP_0,0
hr tool site loading page correctly,hr tool site loading page correctly,hr tool site loading page correctly hr tool site loading page correctly,GRP_0,0
unable login hr tool sgxqsuojr xwbesorf card,unable login hr tool sgxqsuojr xwbesorf card,unable login hr tool sgxqsuojr xwbesorf card unable login hr tool sgxqsuojr xwbesorf card,GRP_0,0
user want reset password,user want reset password,user want reset password user want reset password,GRP_0,0
unable open payslip,unable open payslip,unable open payslip   unable open payslip,GRP_0,0
ticket update inplant       ,ticket update inplant       ,ticket update inplant         ticket update inplant       ,GRP_0,0
unable login company vpn,    receive    xyz company com    hi     unable login company vpn website    try open new session use link    able get pls help urgently work home tomorrow due month end close  ,unable login company vpn    receive   xyz company com   hi    unable login company vpn website   try open new session use link   able get pls help urgently work home tomorrow due month end close  ,GRP_0,0
undock pc    screen come back,undock pc     screen come back,undock pc    screen come back undocking pc    screen come back,GRP_3,23
erp sid     account lock,erp sid      account lock,erp sid     account lock erp sid     account lock,GRP_0,0
unable sign vpn,unable sign vpn,unable sign vpn unable sign vpn,GRP_0,0
unable check payslip,unable check payslip,unable check payslip unable check payslip,GRP_0,0
vpn issue,      receive      hello helpdesk      able connect vpn home office    couple f hour ago connect    work anymore    get message session expire click link    nothing happen                                     nee help dynamic crm     click       chat live agent regard dynamic crm question    click       well,vpn issue      receive     hello helpdesk     able connect vpn home office   couple f hour ago connect   work anymore   get message session expire click link   nothing happen                                    nee help dynamic crm    click      chat live agent regard dynamic crm question   click      well,GRP_0,0
unable connect vpn,unable connect vpn,unable connect vpn unable connect vpn,GRP_0,0
user call vendor phone number,user call vendor phone number,user call vendor phone number user call vendor phone number,GRP_0,0
vpn work,    receive    dceoufyz saufqkmd gmail com    hello     able connect company network vpn    pls check     cc    sir able upload result company network   ,vpn work    receive   dceoufyz saufqkmd gmail com   hello    able connect company network vpn   pls check    cc   sir able upload result company network   ,GRP_0,0
erp sid     password reset,erp sid      password reset,erp sid     password reset   erp sid     password reset,GRP_0,0
unable login hr tool check payslip,unable login hr tool check payslip,unable login hr tool check payslip unable login hr tool check payslip,GRP_0,0
account lock,account lock,account lock account lock,GRP_0,0
unable login hr tool,unable login hr tool,unable login hr tool unable login hr tool,GRP_0,0
unable log erp sid    ,unable log erp sid    ,unable log erp sid      unable log erp sid    ,GRP_0,0
password reset collaboration platform,password reset collaboration platform,password reset collaboration platform password reset collaboration platform,GRP_0,0
reset   user,hi    please reset user password    client -PRON- d        username     xyz  ,reset   user hi   please reset user password   client -PRON- d       username    xyz  ,GRP_0,0
duplication network address,    receive    kxsceyzo naokumlb gmail com    gentle     two device try share ip address    try share                  one printer hostname prtjc        new display erp    display use dhcp get address assign printer hard code     guess address                 get set static address dhcp    nee correct display pick another address   ,duplication network address     receive   kxsceyzo naokumlb gmail com   gentle    two device try share ip address   try share                 one printer hostname prtjc       new display erp   display use dhcp get address assign printer hard code    guess address                get set static address dhcp   need correct display pick another address   ,GRP_4,31
ess password reset,ess password reset,ess password reset ess password reset,GRP_0,0
unable install flash player,unable install flash player,unable install flash player unable install flash player,GRP_0,0
ticket         employment status    new non employee,ticket          employment status     new non employee   ,ticket         employment status    new non employee   ticket         employment status    new non employee   ,GRP_0,0
erp sid     account unlock password reset,erp sid      account unlock password reset,erp sid     account unlock password reset erp sid     account unlock password reset,GRP_0,0
unable resolve ticket assign self,status button dierppeare second,unable resolve ticket assign self status button dierppearing second,GRP_0,0
instal engineering tool,need install engineering tool pc,instal engineering tool need install engineering tool pc,GRP_0,0
call ecwtrjnq jpecxuty,call ecwtrjnq jpecxuty,call ecwtrjnq jpecxuty call ecwtrjnq jpecxuty,GRP_0,0
ticket update    inplant       ,ticket update     inplant       ,ticket update    inplant         ticket update    inplant       ,GRP_0,0
tablet       sound work,tablet        sound work,tablet       sound work tablet       sound work,GRP_0,0
unable login system,unable login system,unable login system unable login system,GRP_0,0
please reroute job printer    printer      issue need resolve today,    receive    yisohglr uvteflgb gmail com    hi      printer     printer work need part replace     reroute job queue printer printer        wihuyjdo qpogfwkb indicate prqos      need new part may deliver day inwarehouse tool need print printer       nee take care today since inwarehouse tool print pick outside vendor        pm usa daily basis      please contact dkmcfreg anwmfvlgenkataramdntyana question job queue today   ,please reroute job printer    printer      issue need resolve today    receive   yisohglr uvteflgb gmail com   hi     printer    printer work need part replace    reroute job queue printer printer       wihuyjdo qpogfwkb indicate prqos     need new part may deliver day inwarehouse tool need print printer      need take care today since inwarehouse tool print pick outside vendor       pm usa daily basis     please contact dkmcfreg anwmfvlgenkataramdntyana question job queue today   ,GRP_5,39
unable login hr tool etime,unable login hr tool etime,unable login hr tool etime unable login hr tool etime,GRP_0,0
log hr tool etime single sign portal,log hr tool etime single sign portal,log hr tool etime single sign portal log hr tool etime single sign portal,GRP_0,0
password change password management tool do not update erp account,password change password management tool do not update erp account,password change password management tool do not update erp account password change password management tool do not update erp account,GRP_0,0
job job       fail job scheduler                       ,receive      job job        fail job scheduler                     ,job job       fail job scheduler                         receive     job job       fail job scheduler                     ,GRP_6,42
